Message,total
W0104-pointless-statement,445
R1706-consider-using-ternary,339
W0120-useless-else-on-loop,205
R1703-simplifiable-if-statement,335
W0603-global-statement,6
E0702-raising-bad-type,46
R1730-consider-using-min-builtin,110
W0106-expression-not-assigned,637
W0127-self-assigning-variable,190
E0611-no-name-in-module,247
W1515-forgotten-debug-statement,11
W0632-unbalanced-tuple-unpacking,27
C0104-disallowed-name,153
W0301-unnecessary-semicolon,484
W1308-duplicate-string-formatting-argument,64
W0641-possibly-unused-variable,640
E1137-unsupported-assignment-operation,40
R1715-consider-using-get,59
E1136-unsubscriptable-object,253
W2301-unnecessary-ellipsis,14
E1121-too-many-function-args,101
R0201-no-self-use,103
C0208-use-sequence-for-iteration,20
W0715-raising-format-tuple,297
C0113-unneeded-not,103
E1130-invalid-unary-operand-type,93
W1114-arguments-out-of-order,10
E1305-too-many-format-args,71
W0125-using-constant-test,67
W0705-duplicate-except,14
W0107-unnecessary-pass,303
W1303-missing-format-argument-key,10
W1309-f-string-without-interpolation,92
E4702-modified-iterating-dict,42
R1708-stop-iteration-return,214
R1709-simplify-boolean-expression,16
W1116-isinstance-second-argument-not-valid-type,27
W0150-lost-exception,76
W1310-format-string-without-interpolation,128
E1307-bad-string-format-type,7
E1111-assignment-from-no-return,35
E1123-unexpected-keyword-arg,140
W1501-bad-open-mode,9
E1129-not-context-manager,15
R1733-unnecessary-dict-index-lookup,12
W1202-logging-format-interpolation,2
R1726-simplifiable-condition,20
E1306-too-few-format-args,21
R1727-condition-evals-to-constant,27
R0124-comparison-with-itself,40
E0704-misplaced-bare-raise,51
E1102-not-callable,44
W1505-deprecated-method,19
E0711-notimplemented-raised,8
E0712-catching-non-exception,12
W0231-super-init-not-called,2
R1712-consider-swap-variables,13
W0642-self-cls-assignment,1
W0402-deprecated-module,38
W0201-attribute-defined-outside-init,78
E2513-invalid-character-esc,5
W1304-unused-format-string-argument,14
W0711-binary-op-exception,5
W1201-logging-not-lazy,1
E0213-no-self-argument,22
E1133-not-an-iterable,11
I1101-c-extension-no-member,4
E0118-used-prior-global-declaration,9
C0204-bad-mcs-classmethod-argument,3
E0633-unpacking-non-sequence,11
W0128-redeclared-assigned-name,9
W0109-duplicate-key,16
W0129-assert-on-string-literal,2
W1302-bad-format-string,6
E0119-misplaced-format-function,4
W4701-modified-iterating-list,12
W0238-unused-private-member,2
W0143-comparison-with-callable,4
R1713-consider-using-join,8
E1126-invalid-sequence-index,2
E0111-bad-reversed-sequence,1
E0203-access-member-before-definition,2
E1134-not-a-mapping,1
E1310-bad-str-strip-call,4
E0703-bad-exception-context,2
E1128-assignment-from-none,3
E1301-truncated-format-string,3
W1305-format-combined-specification,2
W1404-implicit-str-concat,8
E0302-unexpected-special-method-signature,1
W0716-wrong-exception-operation,1
E1124-redundant-keyword-arg,13
C0202-bad-classmethod-argument,2
E1003-bad-super-call,1
W0223-abstract-method,4
E0237-assigning-non-slot,1
W1512-deprecated-class,3
W0237-arguments-renamed,2
C0327-mixed-line-endings,50
E0211-no-method-argument,2
R0902-too-many-instance-attributes,3
W1307-invalid-format-index,1
E1125-missing-kwoa,2
W0235-useless-super-delegation,2
W1301-unused-format-string-key,1
W0126-missing-parentheses-for-call-in-test,2
E0701-bad-except-order,1
W0221-arguments-differ,1
E2515-invalid-character-zero-width-space,2
E0110-abstract-class-instantiated,2
E0011-unrecognized-inline-option,2
W1510-subprocess-run-check,2
